username,datetime,tweet,cleaned_tweet,target,tweet_compound,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy,second/thirdperson,firstperson,sadness/loneliness,suicidal,primarysupport,troubleconcentrate,worthlessness/guilt,housing,disturbedsleep,occupational,fatigue/lossenergy,weight/appetite,agitation/retardation,topic
girlxalrighty,16/12/2021 14:26,gonna show michael a muppet family Christmas this weekend and he gets to experience the holy trinity of the muppets the fraggles and Sesame Street in the same movie for the first time hehehehe,go show michael muppet family christmas weekend he get experience holy trinity muppets fraggles sesame street movie first time hehehehe,normal,0,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
ambiodun5,16/12/2021 14:26,"@Warepamorsammy  I pray For Your Today Whoever plots evil against you will be put into confusion. No act of wickedness will prosper over you, Business and family. Rejoice for the battle is won. Good Morning Boss",i pray your today whoever plot evil you put confusion no act wickedness prosper you business family rejoice battle win good morning bos,normal,-0.4019,0.096774194,0.096774194,0.129032258,0.096774194,0.096774194,0.129032258,0.129032258,0.032258065,0.064516129,0.129032258,3,1,0,0,0,0,0,0,0,0,0,0,0,4
ciaisgolden,16/12/2021 14:26,@foolsgoldrush_ IT WAS ONE OF THE BEST DAYS THAT HAPPENED TO ME. &lt;3,it one best day happen me love,normal,0.7125,0,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,9
faryalak,16/12/2021 14:26,@exharrie @76Shadabkhan Meeting him and @RealHa55an was the highlight of that week for me,meet him highlight week me,normal,0.34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
yamini_nagi,16/12/2021 14:26,@Yunike2021 I copied the paragraph and looked it up later and tadaaa... the answer wasn't in the selections for real djdhid  But thank you~ i shall go do another exam now www,i copy paragraph look it later tadaa answer not selection real djdhid thank you i shall go another exam ww,normal,0.3612,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3
yesmynameissumo,16/12/2021 14:26,@alexandertyler it came out on a Wednesday. it has a weekend under its belt. its on a service of 18+ million. it won players choice. its Halo.   the expectation isnt unrealistic,it come wednesday it weekend its belt its service million it win player choice its halo expectation not unrealistic,normal,0.5719,0.142857143,0.142857143,0.142857143,0,0,0.285714286,0.285714286,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3
bitcoinsenpai,16/12/2021 14:26,This is what hundreds of MPs in the UK voted for on Tuesday. This will be happening outside a restaurant and other venues near you soon.  #TogetherDeclaration,hundred mp uk vote tuesday happen outside restaurant venue near you soon,normal,0,0,0.111111111,0.222222222,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0,0.111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,1
janellesue0912,16/12/2021 14:26,Until I see Pete Rose in the hall of fame this garbage means nothing to me. I said what I said. ???????  https://t.co/PBVhrI3too,i see pete rise hall fame garbage mean nothing me i say i say,normal,0.594,0,0,0,0,0,0.333333333,0.333333333,0,0.333333333,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7
howardsteen4,16/12/2021 14:26,@KingGuava1 @BigDaddyLiberty These people are totally sick and evil. They might well believe in what they are doing here which is planning for the destruction of civil society. But it is fundamentally evil.,people totally sick evil they might well believe they plan destruction civil society it fundamentally evil,normal,-0.9479,0.117647059,0.176470588,0.058823529,0,0,0.058823529,0.235294118,0.176470588,0.176470588,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9
enhypensjay,16/12/2021 14:26,The show is only in Korean tv Im going to cry,show korean tv i go cry,normal,-0.4767,0,0,0,0.333333333,0,0,0.333333333,0.333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
dmghouston,16/12/2021 14:26,I'm at a point where I am not fighting for anything except our democracy.  The right to vote is imperative.,i point i not fight anything except our democracy right vote imperative,normal,0.2755,0.083333333,0.166666667,0.083333333,0.083333333,0.083333333,0.166666667,0.166666667,0.083333333,0,0.083333333,0,3,0,0,0,0,0,0,0,0,0,0,0,3
tonyromero48,16/12/2021 14:26,If you have fibromyalgia join the community and help figure out which treatments work best   https://t.co/xHrx32GuwK #StuffThatWorks #Health,you fibromyalgia join community help figure treatment work best,normal,0.8442,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
nereaction,16/12/2021 14:26,"@AccurateCaption @bullstof @Logan_sado My brother has said he really has not experienced stuff like this before and hes 42, he always talks about his childhood with it snowing all the time",my brother say he really not experience stuff like he he always talk his childhood it snow time,normal,-0.2755,0,0,0.166666667,0.166666667,0,0.5,0,0,0,0.166666667,5,1,0,0,0,0,0,0,0,0,0,0,0,9
terrifictays,16/12/2021 14:26,The hockey hound is gone ladies and gents ??,hockey hound go lady gent,normal,0,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
soobunnyluv,16/12/2021 14:26,Sadly I cant find the tweet of my first ever theme but this one starts from my second. Anyways heres my newest theme????  https://t.co/QvzttaMwWk,sadly i not find tweet my first ever theme one start my second anyways my new theme,normal,-0.4329,0,0,0.333333333,0,0,0,0.333333333,0.333333333,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
ohmyraqibbb,16/12/2021 14:26,"the year is 2025, someone created a trust of cryptocurrency and you have to explain to the court how a monkey image beneficially belongs to the plaintiff",year someone create trust cryptocurrency you explain court monkey image beneficially belong plaintiff,normal,0.8271,0.111111111,0.111111111,0.111111111,0.222222222,0,0.222222222,0.111111111,0,0,0.111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,5
kyle_sills,16/12/2021 14:26,@TTVSweet4U @SteeloAndKri Holy shit this is insane. Thanks for the chance! @kalamity18 @brady,holy shit insane thanks chance,normal,-0.4003,0.125,0.25,0,0,0.125,0.125,0.25,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
steelfrmblawnox,16/12/2021 14:26,@KDPomp This can win me over,win me,normal,0.5859,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
hiddlstonfan,16/12/2021 14:26,"@residentmulti @RUNYOMONEY every girl has a necklace with it, bracelets, its in their bios, every morning they get up making obscene tweets about it, like honestlyan emoji is not going to help your life ??",every girl necklace it bracelets its their bios every morning they get make obscene tweet it like honestlyan emoji not go help your life,normal,-0.6017,0,0,0,0,0,0,0.5,0,0.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ggizento,16/12/2021 14:26,"I highly doubt we will see any superstar NA player ever go to LEC. The reason isn't only because LEC teams in general lack the money, but also because of taxation laws in Germany.",i highly doubt we see superstar na player ever go lec reason not lec team general lack money also taxation law germany,normal,-0.3708,0.05,0.05,0.05,0.3,0.05,0.2,0.15,0.05,0,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,3
lunaursaa,16/12/2021 14:26,@LofiTheSenpai It's the software for vtubers,it software vtubers,normal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
keybladeher0ine,16/12/2021 14:26,Today was a really great session for 13s! Raised a few of them and surprised myself by getting 13 pfc number three unexpectedly ?? ??back on the journey to getting my stamina back  https://t.co/thauPu57hh,today really great session raise them surprise myself get pfc number three unexpectedly back journey get my stamen back,normal,0.8763,0.222222222,0,0.111111111,0,0.222222222,0.222222222,0,0,0,0.222222222,1,2,0,0,0,0,0,0,0,0,0,0,0,3
clarenceamadeus,16/12/2021 14:26,"@thumbthrower @jilnokuri @3cbPerformance Arteta has progress, he has shown that he can produce something if given players he want. But I think half of the team doesn't respect him. Arsenal's best team is young, inexperienced, but promising, and it may take a long time before arteta will be successful. Does he have time?",arteta progress he show he produce something give player he want i think half team not respect him arsenal best team young inexperienced promise it may take long time arteta successful he time,normal,0.9122,0,0,0.269230769,0.230769231,0.038461538,0.192307692,0.076923077,0,0,0.192307692,6,1,0,0,0,0,0,0,0,0,0,0,0,3
critrollfan96,16/12/2021 14:26,"@MarkerWitch I don't mind masks but I still pine for the ""old days"" as it where.",i not mind mask i still pine old day it,normal,0,0,0,0,0,0,0,0.5,0.5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,9
leobennachoben,16/12/2021 14:26,The Secret of Christmas  written by Sammy Cahn and Jimmy Van Heusen  1959  https://t.co/tTjKWMP5hY,secret christmas write sammy cahn jimmy van heusen,normal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
toothshaman,16/12/2021 14:26,This wind gonna take the whole damn roof away,wind go take whole damn roof away,normal,-0.4019,0,0.333333333,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
etimwillz,16/12/2021 14:26,"@Lilymikell @chidi_esq @cchukudebelu Can you guys for once hide your bigotry...... The bid was an open bid, if you knew anyone who you assume is competent enough, why didn't they submit a bid? Must you guys always attach ethnicity to every discussion?",you guy hide your bigotry bid open bid you know anyone you assume competent enough not they submit bid must you guy always attach ethnicity every discussion,normal,0.2406,0.2,0,0.2,0.2,0,0.4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
mikarin14_,16/12/2021 14:26,"Call me old and traditional but theres a reason why some local banks are not fully-onboard sa online opening ng accounts, unless youre already an account holder of that bank. Imagine checking KYC docs without looking at the original specimen. Horror! ??",call me old traditional reason local bank not fully onboard sa online open ng account unless you already account holder bank imagine check kyc doc without look original specimen horror,normal,-0.5792,0.071428571,0.071428571,0,0.357142857,0.071428571,0.214285714,0.071428571,0.071428571,0.071428571,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
polyglotprogres,16/12/2021 14:26,I did get to do some reading in German while on the plane though! So theres that,i get reading german plane though,normal,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
paleolithicism,16/12/2021 14:26,@_Domestication_ They would hold the accumulated knowledge of the spirit world and access to it,they would hold accumulated knowledge spirit world access it,normal,0.1779,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8
sleepy_smt,16/12/2021 14:26,@midsommar_stan he's the grinch,he grinch,normal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
katvefe,16/12/2021 14:26," ??   Tomo sits by the lampgrass. In his hands is an old pocket watch from his late father. At some point, a faded photograph was inside. Now, it only bears the time, oftentimes behind a few minutes.  Tomo isnt sure why this budding affair was affecting him.",tomo sits lampgrass his hand old pocket watch his late father point faded photograph inside it bear time oftentimes behind minute tomo not sure budding affair affect him,normal,-0.323,0.25,0.125,0.25,0.125,0,0,0.125,0.125,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6
victor_malkav,16/12/2021 14:26,"@HailKingCrimson approach it as someone with no clue on stuff like the lore, history, past incarations. Start with showing what you found, how you found it and why you like it. Don't dive right and learn EVERYTHING at once, take your time and enjoy the feeling of discovery and sharing the new",approach it someone no clue stuff like lore history past incarations start show you find you find it you like it not dive right learn everything take your time enjoy feeling discovery share new,normal,0.8519,0.041666667,0.041666667,0.25,0.166666667,0.041666667,0.208333333,0.041666667,0.041666667,0.041666667,0.125,7,0,0,0,0,0,0,0,0,0,0,0,0,4
slitherycruelty,16/12/2021 14:26,"""W-W-W-W-What the hell was that lion thinking...?! kissing me out of nowhere?!""  https://t.co/Fvsa2xnkgJ",hell lion think kiss me nowhere,normal,-0.4299,0.181818182,0.090909091,0.090909091,0,0.090909091,0.181818182,0.090909091,0.090909091,0.090909091,0.090909091,0,1,0,0,0,0,0,0,0,0,0,0,0,6
ricksummie,16/12/2021 14:26,"@DollyVolly The decorations, the lighting, the snowall just perfect.",decoration light snowall perfect,normal,0.5719,0,0,0.25,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,8
gggaygorillas,16/12/2021 14:26,"??: food is like weaponry. a true warrior never deliberates unduly over their choice of weapon, nor do they do so over the food they eat. neither should you.",food like weaponry true warrior never deliberate unduly their choice weapon they food they eat neither you,normal,0.3736,0.066666667,0.066666667,0,0.2,0,0.466666667,0,0,0,0.2,4,0,0,0,0,0,0,0,0,0,0,0,0,4
culthuangs,16/12/2021 14:26,"""i just watched spiderman 3 ?? hahaha it was really very fun TTTT"" ""the one who told me not to give spoilers!! hahaha you want me to spoil everyday whenever we comeback hahahaha, why won't you let me spoil a movie? hahahah i definitely won't be spoiling it! don't worry??""  https://t.co/zCxGxVJ1E0",i watch spiderman hahaha it really fun tt one tell me not give spoiler hahaha you want me spoil everyday whenever we comeback hahahaha not you let me spoil movie hahahah i definitely not spoil it not worry,normal,0.951,0.117647059,0,0.176470588,0,0,0.058823529,0.294117647,0.117647059,0.176470588,0.058823529,4,6,0,0,0,0,0,0,0,0,0,0,0,6
sabelozitha,16/12/2021 14:26,"@MightiJamie In fact the base ingredient, like chicken in the chicken stew.",fact base ingredient like chicken chicken stew,normal,0.3612,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
gl0ckwizard,16/12/2021 14:26,"like she literally made eggs last night, and he called to tell her he needed his toothbrush back, it had been here for 2 days already, but oh boy its his only one so he needs it, so she literally stops cooking, puts her dinner in a box, leaves it on the counter, and rushes to him",like she literally make egg last night he call tell her he need his toothbrush back it day already oh boy its his one he need it she literally stop cooking put her dinner box leave it counter rush him,normal,-0.1395,0,0,0,0,0.166666667,0.166666667,0.333333333,0.166666667,0.166666667,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7
ybhanrui,16/12/2021 14:26,"he's saying this in the softest and gentlest tone while looking at her and tbh ill just be like liu ran.  if i were her, id also be swept off my feet and do what he says. i also love that he's appreciating his wife's efforts for him..even eating the food she bought.  https://t.co/TlxMdF9ue4",he say softest gentle tone look her honest ill like liu ran i her i also sweep my foot he say i also love he appreciate his wife effort him even eat food she buy,normal,0.8625,0.105263158,0.105263158,0,0.105263158,0,0.263157895,0.052631579,0.105263158,0.105263158,0.157894737,8,4,0,0,0,0,0,0,0,0,0,0,0,6
giladatzmon,16/12/2021 14:26,The @ADL should just save  the time and make it clear to the entire media that Jews are beyond criticism,save time make it clear entire medium jew beyond criticism,normal,0.4404,0,0.142857143,0.142857143,0.142857143,0,0.142857143,0.142857143,0.142857143,0,0.142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,7
bestthomasroll,16/12/2021 14:26,@McGuire_Mike @PandasAndVidya Almost like they're activists as a profession (i.e. to get paid and keep getting paid) rather than to persuade people and affect meaningful change. ??,almost like they activist profession i e get pay keep get paid rather persuade people affect meaningful change,normal,0.595,0.142857143,0,0.142857143,0.285714286,0,0.285714286,0,0,0,0.142857143,1,1,0,0,0,0,0,0,0,0,0,0,0,1
ainz_lol,16/12/2021 14:26,@hiimfaithxdd The fuck is andorra fkn world of warcraft country lookin ass  https://t.co/qE9SD8Xst2,fuck andorra fkn world warcraft country lookin,normal,-0.7906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
sofiaakillss,16/12/2021 14:26,Ngl Im the happiest Ive ever been,ngl i happiest i ever,normal,0.6369,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
rana_strange,16/12/2021 14:26,"@midsommar_stan @xybergay his name, which in turn defines the name of the other two",his name turn define name two,normal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
yabbyabbi,16/12/2021 14:26,"The pet owner urge to call your pet a Stinky Baby when they are in fact not Stinky, and not a Baby",pet owner urge call your pet stinky baby they fact not stinky not baby,normal,-0.6124,0,0,0,0.142857143,0,0.285714286,0.285714286,0,0,0.285714286,2,0,0,0,0,0,0,0,0,0,0,0,0,1
tkfc,16/12/2021 14:26,I'm hopeful about the trend so far. Let's keep it up @January6thCmte! Smoke out the #traitors and show them the light of day. #Insurrection #GOPCoupAttempt #GOPTraitors  https://t.co/Qa83lOWgyD,i hopeful trend far let us keep it smoke show them light day,normal,0.5562,0,0,0.142857143,0.285714286,0.142857143,0.285714286,0,0,0,0.142857143,2,2,0,0,0,0,0,0,0,0,0,0,0,4
nkaiso_esu,16/12/2021 14:26,@Ralvero That would be $POND of @MarlinProtocol..don't take your Eyes off it.  https://t.co/Y4T2TWFK5E,would pond take your eye it,normal,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
kingkrew777,16/12/2021 14:26,@cryptowithme @BotOfDogecoin @ProTheDoge Im in the same boat! Love your handle btw ????,i boat love your handle way,normal,0.7545,0,0,0,0,0,0.5,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,9
cryomel,16/12/2021 14:26,@SeredineMizuki But atleast im not the toilet fighting for their dear life??????????,atleast i not toilet fight their dear life,normal,0.6878,0.166666667,0.166666667,0,0,0,0.166666667,0.333333333,0,0.166666667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9
pushkin00000,16/12/2021 14:26,Desperate to visit the Memphis Pyramid,desperate visit memphis pyramid,normal,-0.3182,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
musamayayise,16/12/2021 14:26,@SongezoZibi Yes! One of those steps will be the one that take you to the winners podium. KEEP WLAKING ??????????????,yes one step one take you winner podium keep wlaking,normal,0.7936,0,0,0.25,0,0.25,0.25,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,3
flaymark,16/12/2021 14:26,@view_raw Great match. People acting like a time limit draw is the same as a DQ or a countout make me lol tho. Clearly not watched football. Draw is a legitimate outcome in the biggest sport in the world.,great match people act like time limit draw dq countout make me laugh though clearly not watch football draw legitimate outcome big sport world,normal,0.9022,0.1,0,0.3,0,0.1,0.3,0,0,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
yakultseller,16/12/2021 14:26,@thomabfs I WANT TO POST THE FANART BUT IM SCARED THE ARTIST DONT ALLOW REPOST,i want post fanart i scar artist not allow repost,normal,-0.8045,0.2,0.2,0,0,0,0,0.2,0.2,0.2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
mrtux_tv,16/12/2021 14:26,@BrknLaw @HarrisHeller The absolute best,absolute best,normal,0.6369,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
_these7en_,16/12/2021 14:26,"If you can imagine it, you can achieve it. If you can dream it, you can become it.",you imagine it you achieve it you dream it you become it,normal,0.25,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333,8,0,0,0,0,0,0,0,0,0,0,0,0,9
mumanddead,16/12/2021 14:26,"Spooderman was in the bath working, I wonder where My optician is they quipped? All the while, Father was dead.. .  (???)",spooderman bath work i wonder my optician they quip father dead,normal,0,0,0,0,0.5,0,0.5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,6
marolenisr,16/12/2021 14:26,Raise your hand if you'll be working throughout the whole of December ???,raise your hand you work throughout whole december,normal,0.5775,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
maccollinssono1,16/12/2021 14:26,@erasodis @carlgerardcuyos @PolishEmbassyUK @ZhuYu18 Pls how do I get the confirmation code to cancel an appointment because I wasn't given a code when my appointment was approved,please i get confirmation code cancel appointment i not give code my appointment approve,normal,0.2732,0,0,0,0.333333333,0,0.166666667,0.166666667,0.166666667,0,0.166666667,0,3,0,0,0,0,0,0,0,0,0,0,0,0
vi0lentfists,16/12/2021 14:26,No prison wasnt fun.   But the smart onesthe ones that outsmarted and controlled things when no one knew.wow.,no prison not fun smart onesthe one outsmart control thing no one know wow,normal,-0.7719,0.142857143,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,7
bolnazaroorihai,16/12/2021 14:26,@Ammarysaggu @Engr_Nadeem29 @UstadSays I've shared the same poem,i share poem,normal,0.34,0,0,0.25,0.25,0,0.25,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,7
itsbounceb,16/12/2021 14:26,@xppr_iv was it because of what was written in the restroom,it write restroom,normal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
meeqs,16/12/2021 14:26,"@MtlfanSakic Oh I'm not saying they are the same lol, just that the dude sucks and he has for a long long time",oh i not say they laugh dude suck he long long time,normal,0.0772,0,0,0.428571429,0,0.142857143,0.142857143,0.142857143,0,0,0.142857143,2,1,0,0,0,0,0,0,0,0,0,0,0,4
l_the_ideal,16/12/2021 14:26,@DLineCo Why does daylight savings time exist? I hate that it gets dark at 4:30 here in stl,daylight saving time exist i hate it get dark stl,normal,-0.5719,0.142857143,0.142857143,0.142857143,0,0,0,0.142857143,0.285714286,0.142857143,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9
mystyfeline,16/12/2021 14:26,"@Looligan318 Well, my budget is limited. That's why haha.  Hoping that SVSS will be treated the same as those two. I saw a post that the svss has lower price than mdzs and tgcf and it breaks my heart??",well my budget limit haha hoping svss treat two i saw post svss low price mdzs tgcf it break my heart,normal,0.6322,0.083333333,0.083333333,0.083333333,0.166666667,0.166666667,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,1,3,0,0,0,0,0,0,0,0,0,0,0,1
mercuryhammers,16/12/2021 14:26,// LET ME GIVE U THE ESSAY.,let me give you essay,normal,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6
staryoobi,16/12/2021 14:26,Anyways New Years is approaching and its the only thing that matters ??,anyways new year approach its thing matter,normal,0.1179,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
angeleroticism,16/12/2021 14:26,Well Im off to the cave,well i cave,normal,0.2732,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
justinurban03,16/12/2021 14:26,@brann_marie @Rod97491059 Yess see you know! You'll love the video,yes see you know you love video,normal,0.6696,0,0,0,0,0,0.5,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,7
therealcrypdoh,16/12/2021 14:26,@2_4_Coin so we are goin sub 40k now?,we goin sub,normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
rfreakforlife,16/12/2021 14:26,@evan_storm1 @LZZYHALE THE SPONGE-BOB THING KILLED ME ????????????,sponge bob thing kill me,normal,-0.8016,0.25,0,0,0,0,0,0.5,0.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6
taehwansgf,16/12/2021 14:26,@Erichans0307 Yesss hehehehe it's cute story I love it and the older guy have a child too and it's too cute ??,yess hehehehe it cute story i love it old guy child it cute,normal,0.89,0,0,0.142857143,0,0,0.571428571,0,0,0,0.285714286,3,1,0,0,0,0,0,0,0,0,0,0,0,7
shanubhogru,16/12/2021 14:26,@Karanja_Express With the renovated settings.. need to go asap!,renovated setting need go soon possible,normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blueche1,16/12/2021 14:26,@FreakKingston The math really isnt mathing on this one boo.,math really not mathing one boo,normal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2uyonna1602,16/12/2021 14:26,@OneButtonBots @onebuttontrade @maxyamp Yeyyy I'm so exciting... Good luck for the project....,yeyy i exciting good luck project,normal,0.7537,0,0,0.230769231,0.076923077,0.230769231,0.230769231,0,0,0,0.230769231,0,1,0,0,0,0,0,0,0,0,0,0,0,3
decchanrising,16/12/2021 14:26,"Also I am sure one won't have anything to do with the other, but MP100 is the golden child so I remain cautious  But also I am fine with that pls Bones make MP100 season 3 absolutely phenomenal",also i sure one not anything golden child i remain cautious also i fine please bone make season absolutely phenomenal,normal,0.3143,0.142857143,0,0.285714286,0.142857143,0,0.285714286,0,0,0,0.142857143,0,3,0,0,0,0,0,0,0,0,0,0,0,4
eternxlphoenix,16/12/2021 14:26," ? Oh? Silly question, I mean. . are you still cold but you answered it already.  If you are I can increase the temperature of my body.~ ?",oh silly question i mean you still cold you answer it already you i increase temperature my body,normal,0.5484,0,0,0,0,0,0.4,0.4,0,0,0.2,4,3,0,0,0,0,0,0,0,0,0,0,0,9
markziegs,16/12/2021 14:26,@NVIDIAGeForce @wbpictures Neo says that this is truly The One and Morpheus agrees #TheMatrix,neo say truly one morpheus agrees,normal,0.5719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
canyoncurl,16/12/2021 14:26,@lizzie83hp thank you lizzie! hoping you have the best sleep ?????,thank you lizzie hop you best sleep,normal,0.8946,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
fashunably,16/12/2021 14:26,maxi dress the new fashion trend for winter?,maxi dress new fashion trend winter,normal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cachetitopuro,16/12/2021 14:26,Me the next two days,me next two day,normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
profginkoooo,16/12/2021 14:26,@viviavalentine its also super useful to tell how long youve been in the shower too I always lose track of time tbh,its also super useful tell long you shower i always lose track time honest,normal,0.6249,0.125,0.125,0.1875,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.0625,2,1,1,0,0,0,0,0,0,0,0,0,0,9
hopenoellle,16/12/2021 14:26,for my sister its whatever and i mean that! cause ik she gone do the same!????,my sister its whatever i mean ik she go,normal,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,9
rosiiehoesiie,16/12/2021 14:26,the loudest in the room fr fr ?????,loud room fr fr,normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
gangteaparty,16/12/2021 14:26,@KAYZO_LIVE already made the alt and following u. choose ya next words wisely lil boy,already make alt follow you choose ya next word wisely lil boy,normal,0.4215,0,0,0,0.25,0,0.25,0.25,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
jbarro,16/12/2021 14:26,"The guy is literally retired in Florida, what he's supposed to do is drive 10 MPH under the limit in the left lane with his turn signal on",guy literally retire florida he suppose drive mph limit left lane his turn signal,normal,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
omwanza,16/12/2021 14:26,"@alinory_KWENA @hkmutai @lawsocietykenya @NelsonHavi @SchoolofLawKE @annakonuche @CLE_Kenya Is advocacy about grammar or constructing a proper, logical and valid argument? Let's not descend into the petty.",advocacy grammar construct proper logical valid argument let us not descend petty,normal,-0.5106,0,0.166666667,0.083333333,0.166666667,0,0.333333333,0.166666667,0,0,0.083333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0
davidfu31286558,16/12/2021 14:26,How will give this away ?   The is the criteria ? @NonFungibleFlex @MetsNetsFan   Love the art either way,give away criterion love art either way,normal,0.6767,0,0,0.142857143,0,0.142857143,0.285714286,0,0.142857143,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,7
944svem,16/12/2021 14:26,@ESJackets Let's amplify this sentiment across the #cbj Fandom! Turn up.,let us amplify sentiment across fandom turn,normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
